Iran,1745150.0,7.6424443E7,19.003,5.218,1.917,21575385,2.8758465E7,5.8157539E7
Ireland,70280.0,4586897.0,15.7,6.3,2.01,1725315,2007746.0,4905944.0
Israel,22070.0,7910500.0,21.6,5.3,3.04,636874,3594000.0,9225000.0
Italy,301340.0,5.9539717E7,9.0,10.3,1.4,18719287,2.1655693E7,9.7227911E7
Jamaica,10990.0,2707805.0,14.53,6.28,2.284,1242151,253143.0,2714938.0
Japan,377960.0,1.27561489E8,8.2,10.0,1.41,10329929,6.4273073E7,1.38362823E8
Jordan,89320.0,6318000.0,27.699,3.696,3.314,1075955,434437.0,8984252.0
Kenya,580370.0,4.3178141E7,35.505,8.464,4.459,32655628,251567.0,3.0731754E7
Kiribati,810.0,100786.0,23.294,6.011,2.982,56493,9000.0,16000.0
Kuwait,17820.0,3250496.0,20.852,2.916,2.626,55453,510000.0,5100000.0
Laos,236800.0,6645827.0,27.272,6.092,3.108,4295331,450000.0,4300000.0
Lebanon,10450.0,4424888.0,13.218,4.414,1.498,556385,867000.0,3755169.0
Lesotho,30360.0,2051545.0,27.636,15.225,3.092,1523067,50769.0,1544815.0
Liberia,111370.0,4190435.0,36.016,9.011,4.868,2156356,10.0,2393634.0
Libya,1759540.0,6154623.0,21.138,4.191,2.41,1354756,814000.0,9587000.0
Madagascar,587295.0,2.2293914E7,34.916,7.011,4.528,14893226,242963.0,8778600.0
Malawi,118480.0,1.5906483E7,40.13,11.659,5.471,13393577,227295.0,4646894.0
Malaysia,330800.0,2.9239927E7,17.642,4.67,1.975,8033378,4588900.0,4.13247E7
Maldives,300.0,338442.0,22.201,3.405,2.287,195271,23140.0,560547.0
Mali,1240190.0,1.4853572E7,47.372,13.366,6.852,9271748,111979.0,1.4612835E7
Malta,320.0,419455.0,9.8,8.1,1.43,21011,229740.0,532228.0
Mauritania,1030700.0,3796141.0,34.463,8.793,4.728,1594379,65069.0,4025478.0
Mauritius,2040.0,1291167.0,11.4,7.1,1.43,772583,349100.0,1485800.0
Mexico,1964380.0,1.20847477E8,18.771,4.509,2.216,26094596,2.0587824E7,1.00727228E8
Mongolia,1564120.0,2796484.0,22.887,6.791,2.446,853711,176706.0,3375205.0
Morocco,446550.0,3.2521143E7,22.636,6.337,2.706,13432208,3279054.0,3.9016336E7
Mozambique,799380.0,2.5203395E7,39.441,14.422,5.263,17285244,88140.0,8804986.0
Myanmar,676590.0,5.2797319E7,17.443,8.515,1.959,35654557,524225.0,3729617.0
Namibia,824290.0,2259393.0,26.359,7.312,3.107,1272806,171249.0,2146833.0
Netherlands,41500.0,1.6754962E7,10.5,8.4,1.72,1914254,7182000.0,1.9717E7
New Caledonia,18580.0,258000.0,16.1,5.2,2.149,81247,80000.0,231000.0
Nicaragua,130370.0,5991733.0,23.142,4.578,2.541,2526055,299123.0,5851723.0
Niger,1267000.0,1.7157042E7,49.808,11.195,7.574,14071176,100537.0,5395540.0
Nigeria,923770.0,1.68833776E8,41.532,13.479,6.002,92463506,418166.0,1.12777785E8
North Korea,120540.0,2.4763188E7,14.364,9.163,1.995,9797308,1180000.0,1700000.0
Oman,309500.0,3314001.0,21.345,2.766,2.884,788600,304545.0,5277591.0
Pakistan,796100.0,1.79160111E8,25.704,6.98,3.264,112104065,5861915.0,1.20151237E8
Panama,75420.0,3802281.0,19.748,4.913,2.493,1304258,569880.0,6213564.0
Papua New Guinea,462840.0,7167010.0,29.307,7.712,3.838,6236589,139000.0,2709000.0
Paraguay,406752.0,6687361.0,23.922,5.677,2.897,2745830,410988.0,6793703.0
Peru,1285220.0,2.99878E7,19.977,5.302,2.448,6712469,3415478.0,2.9388077E7
Philippines,300000.0,9.6706764E7,24.59,6.004,3.076,53372463,3493164.0,1.01978345E8
Poland,312680.0,3.8535873E7,10.0,10.0,1.3,15149222,5950896.0,5.4086209E7
Portugal,92210.0,1.0514844E7,8.5,10.2,1.28,4021087,4558075.0,1.2084833E7
Puerto Rico,8870.0,3651545.0,10.6,8.161,1.644,229244,706274.0,3049697.0
Qatar,11610.0,2050514.0,11.179,1.398,2.036,21612,394407.0,2601210.0
Romania,238390.0,2.0076727E7,10.0,12.7,1.53,9217025,4650000.0,2.284E7
Rwanda,26340.0,1.1457801E7,35.773,7.278,4.616,8490918,44363.0,5690751.0
Sao Tome and Principe,960.0,188098.0,34.742,6.919,4.145,69098,8035.0,122172.0
Saudi Arabia,2149690.0,2.8287855E7,19.864,3.252,2.702,4947546,4801824.0,5.3012322E7
Senegal,196710.0,1.3726021E7,38.1,7.716,4.981,7853892,340019.0,1.1470646E7
Sierra Leone,72300.0,5978727.0,37.134,17.411,4.782,3653899,18000.0,2210000.0
Singapore,716.0,5312400.0,10.1,4.5,1.29,0,1987600.0,8067600.0
Solomon Islands,28900.0,549598.0,31.45,5.93,4.099,434380,8060.0,302147.0
Somalia,637660.0,1.0195134E7,44.204,12.515,6.667,6305385,70000.0,2300000.0
South Africa,1219090.0,5.2274945E7,21.09,13.244,2.412,19199542,4847000.0,6.8394E7
South Korea,100150.0,5.0004441E7,9.6,5.3,1.297,8930293,3.0099175E7,5.3624427E7
Spain,505600.0,4.6761264E7,9.7,8.6,1.32,9865691,1.9574626E7,5.0665099E7
Sri Lanka,65610.0,2.0328E7,18.127,7.037,2.346,16608586,3449391.0,1.9332844E7
St. Lucia,620.0,180870.0,15.718,7.07,1.936,147499,36842.0,216000.0
